log_time,State,wgSpeed,flowSpeed,flowDir,heading,exceptCourse,rudderAngle,windSpeed,depth
2026-04-21 22:31:05,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:05,-,4.855291346712877,0.0,0.0,60,41.047748468227724,-12.345872055683515,0.0,0.0
2026-04-21 22:31:05,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:05,-,4.855291346712877,0.0,0.0,60,41.047748468227724,-12.345872055683515,0.0,0.0
2026-04-21 22:31:06,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:06,-,5.061227727992735,0.0,0.0,60,41.047748468227724,-12.345872055683515,0.0,0.0
2026-04-21 22:31:06,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:06,-,5.061227727992735,0.0,0.0,60,30.239180747914475,-20.473087153996296,0.0,0.0
2026-04-21 22:31:07,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:07,-,5.0044525733150405,0.0,0.0,60,30.239180747914475,-20.473087153996296,0.0,0.0
2026-04-21 22:31:07,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:07,-,5.0044525733150405,0.0,0.0,60,25.01502611906841,-25.04220847057534,0.0,0.0
2026-04-21 22:31:07,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:08,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:08,-,5.061967636269126,0.0,0.0,60,25.01502611906841,-25.04220847057534,0.0,0.0
2026-04-21 22:31:08,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:08,-,5.061967636269126,0.0,0.0,60,25.01502611906841,-25.04220847057534,0.0,0.0
2026-04-21 22:31:09,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:09,-,5.140681101479675,0.0,0.0,60,19.9729615358263,-29.682166931396747,0.0,0.0
2026-04-21 22:31:09,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:09,-,5.140681101479675,0.0,0.0,60,19.9729615358263,-29.682166931396747,0.0,0.0
2026-04-21 22:31:10,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:10,-,4.817996739319916,0.0,0.0,60,19.9729615358263,-29.682166931396747,0.0,0.0
2026-04-21 22:31:10,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:10,-,4.817996739319916,0.0,0.0,60,10.878318979906282,-30.0,0.0,0.0
2026-04-21 22:31:11,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:11,-,5.170822394259962,0.0,0.0,60,10.878318979906282,-30.0,0.0,0.0
2026-04-21 22:31:11,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:11,-,5.170822394259962,0.0,0.0,60,10.878318979906282,-30.0,0.0,0.0
2026-04-21 22:31:12,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:12,-,4.900698852869235,0.0,0.0,60,6.858044209096477,-30.0,0.0,0.0
2026-04-21 22:31:12,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:12,-,4.900698852869235,0.0,0.0,60,6.858044209096477,-30.0,0.0,0.0
2026-04-21 22:31:13,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:13,-,5.095858372922991,0.0,0.0,60,359.79888196655185,-30.0,0.0,0.0
2026-04-21 22:31:13,誤差過大重新規劃,-,-,-,-,-,-,-,-
2026-04-21 22:31:13,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:13,-,5.095858372922991,0.0,0.0,60,359.79888196655185,-30.0,0.0,0.0
2026-04-21 22:31:14,路徑規劃完成,-,-,-,-,-,-,-,-
2026-04-21 22:31:14,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:14,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:14,-,5.153836008967269,0.0,0.0,60,359.79888196655185,-30.0,0.0,0.0
2026-04-21 22:31:15,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:15,-,5.106543328786482,0.0,0.0,60,359.79888196655185,-30.0,0.0,0.0
2026-04-21 22:31:15,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:15,-,5.106543328786482,0.0,0.0,60,56.875196990906545,-7.67144547331011,0.0,0.0
2026-04-21 22:31:16,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:16,-,4.951964924647241,0.0,0.0,60,56.875196990906545,-7.67144547331011,0.0,0.0
2026-04-21 22:31:16,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:16,-,4.951964924647241,0.0,0.0,60,56.875196990906545,-7.67144547331011,0.0,0.0
2026-04-21 22:31:17,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:17,-,4.940215719419042,0.0,0.0,60,51.732516763823924,-11.310954411816159,0.0,0.0
2026-04-21 22:31:17,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:17,-,4.940215719419042,0.0,0.0,60,51.732516763823924,-11.310954411816159,0.0,0.0
2026-04-21 22:31:18,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:18,-,4.88144700770485,0.0,0.0,60,51.732516763823924,-11.310954411816159,0.0,0.0
2026-04-21 22:31:18,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:18,-,4.88144700770485,0.0,0.0,60,41.06454127594401,-18.488489602119596,0.0,0.0
2026-04-21 22:31:19,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:19,-,5.168978882046856,0.0,0.0,60,41.06454127594401,-18.488489602119596,0.0,0.0
2026-04-21 22:31:19,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:19,-,5.168978882046856,0.0,0.0,60,41.06454127594401,-18.488489602119596,0.0,0.0
2026-04-21 22:31:20,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:20,-,4.928860802107788,0.0,0.0,60,35.649219056348784,-22.730381170001564,0.0,0.0
2026-04-21 22:31:20,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:20,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:20,-,4.928860802107788,0.0,0.0,60,35.649219056348784,-22.730381170001564,0.0,0.0
2026-04-21 22:31:21,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:21,-,4.850971951467782,0.0,0.0,60,35.649219056348784,-22.730381170001564,0.0,0.0
2026-04-21 22:31:21,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:21,-,4.850971951467782,0.0,0.0,60,35.649219056348784,-22.730381170001564,0.0,0.0
2026-04-21 22:31:22,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:22,-,5.149864291617766,0.0,0.0,60,35.649219056348784,-22.730381170001564,0.0,0.0
2026-04-21 22:31:22,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:22,-,5.149864291617766,0.0,0.0,60,25.04520495931945,-30.0,0.0,0.0
2026-04-21 22:31:23,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:23,-,4.942262092317268,0.0,0.0,60,25.04520495931945,-30.0,0.0,0.0
2026-04-21 22:31:23,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:23,-,4.942262092317268,0.0,0.0,60,25.04520495931945,-30.0,0.0,0.0
2026-04-21 22:31:24,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:24,-,5.002336611795981,0.0,0.0,60,25.04520495931945,-30.0,0.0,0.0
2026-04-21 22:31:24,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:24,-,5.002336611795981,0.0,0.0,60,15.293060920871937,-30.0,0.0,0.0
2026-04-21 22:31:25,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:25,-,4.972561073980699,0.0,0.0,60,15.293060920871937,-30.0,0.0,0.0
2026-04-21 22:31:25,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:25,-,4.972561073980699,0.0,0.0,60,15.293060920871937,-30.0,0.0,0.0
2026-04-21 22:31:26,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:26,-,4.848548027487749,0.0,0.0,60,15.293060920871937,-30.0,0.0,0.0
2026-04-21 22:31:26,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:26,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:26,-,4.848548027487749,0.0,0.0,60,6.903208656163088,-30.0,0.0,0.0
2026-04-21 22:31:27,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:27,-,4.813674088459161,0.0,0.0,60,6.903208656163088,-30.0,0.0,0.0
2026-04-21 22:31:27,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:27,-,4.813674088459161,0.0,0.0,60,6.903208656163088,-30.0,0.0,0.0
2026-04-21 22:31:28,誤差過大重新規劃,-,-,-,-,-,-,-,-
2026-04-21 22:31:28,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:28,-,5.112036880468126,0.0,0.0,60,359.84957613330795,-30.0,0.0,0.0
2026-04-21 22:31:29,路徑規劃完成,-,-,-,-,-,-,-,-
2026-04-21 22:31:29,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:29,-,5.0962472048272645,0.0,0.0,60,359.84957613330795,-30.0,0.0,0.0
2026-04-21 22:31:30,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:30,-,4.99467122170757,0.0,0.0,60,359.84957613330795,-30.0,0.0,0.0
2026-04-21 22:31:30,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:30,-,0,0,0,60,359.84957613330795,0,0.0,0.0
2026-04-21 22:31:30,誤差過大重新規劃,-,-,-,-,-,-,-,-
2026-04-21 22:31:31,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:31,-,0,0,0,60,56.86985367443526,-11.955175195061912,0.0,0.0
2026-04-21 22:31:31,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:31,-,0,0,0,60,56.86985367443526,-11.955175195061912,0.0,0.0
2026-04-21 22:31:32,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:32,-,0,0,0,60,56.86985367443526,-11.955175195061912,0.0,0.0
2026-04-21 22:31:32,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:32,-,0,0,0,60,56.86985367443526,-11.955175195061912,0.0,0.0
2026-04-21 22:31:33,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:33,-,0,0,0,60,56.86985367443526,-11.955175195061912,0.0,0.0
2026-04-21 22:31:33,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:33,-,0,0,0,60,56.86985367443526,-11.955175195061912,0.0,0.0
2026-04-21 22:31:34,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:34,-,0,0,0,60,56.86985367443526,-11.955175195061912,0.0,0.0
2026-04-21 22:31:34,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:34,-,0,0,0,60,56.86985367443526,-11.955175195061912,0.0,0.0
2026-04-21 22:31:35,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:35,-,0,0,0,60,56.86985367443526,-11.955175195061912,0.0,0.0
2026-04-21 22:31:35,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:35,-,0,0,0,60,56.86985367443526,-11.955175195061912,0.0,0.0
2026-04-21 22:31:36,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:36,-,0,0,0,60,56.86985367443526,-11.955175195061912,0.0,0.0
2026-04-21 22:31:36,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:36,-,0,0,0,60,56.86985367443526,-11.955175195061912,0.0,0.0
2026-04-21 22:31:37,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:37,-,0,0,0,60,56.86985367443526,-11.955175195061912,0.0,0.0
2026-04-21 22:31:37,-,-,-,-,-,-,-,-,-
